Flow,VolFlow,P_bar,T_C,MA,Power,S6_Pres,Method,SS_MassFlow,SS_VolFlow,SS_SuctionP,SS_DischargeP,SS_Ratio,SS_Duty_kW,SS_LMTD,SS_MinAppr,SS_UA_kWC,SS_ExpInletT
1100,3700,5.6,-102,2.1555349846074847,1126.0983971803612,26.184915466306148,Grid,6.297971871286546,1.0335958991147538,560.0,2618.4915466306147,4.675877761840383,1272.6450671008802,9.46944902796745,2.1555349846074847,0.13439483789840354,-101.99909249894577
1100,3750,5.6,-102,2.00692597333844,1129.4332444529007,25.928767006798804,Grid,6.34855090089933,1.041648204247899,560.0,2592.8767006798803,4.630136965499786,1279.8148338151946,9.535270526012937,2.00692597333844,0.13421903765852927,-102.00090638177593
1400,3650,6.9,-98,2.070074277576566,1344.075136672371,33.0724659087606,Grid,7.626319496308748,1.015152689678639,690.0,3307.2465908760596,4.793111001269652,1549.512074662363,10.079807609684833,2.070074277576566,0.1537243700141229,-98.0000044508403
1400,3700,6.9,-99,2.2060207822948286,1353.718083910819,32.66199760180306,Grid,7.729450548369449,1.029062916902195,690.0,3266.199760180306,4.733622840841023,1573.8047694113009,9.977090252695353,2.2060207822948286,0.15774185955530778,-99.00000571753185
1400,3750,6.9,-100,2.0351336221672867,1362.7600568625028,32.21493047833058,Grid,7.820186208760957,1.0416666666666667,690.0,3221.493047833058,4.66883050410588,1596.1088382081234,9.68911096050009,2.0351336221672867,0.16473222824209896,-99.99988967721063
1500,3500,7.4,-99.0,0.4672782468693839,1407.2319811093575,36.47437752910301,Anchor,7.796520145284735,0.973315869407952,740.0,3647.437752910301,4.928969936365271,1626.150581538569,6.792954561649059,0.4672782468693839,0.23938781965645953,-99.00005757592103
1500,3550,7.4,-99.0,0.9886440939533827,1416.9312348629896,36.22853004209637,Anchor,7.91275366415473,0.9861097830771661,740.0,3622.8530042096368,4.8957473029859955,1643.6568141086568,8.177997708050412,0.9886440939533827,0.20098523780345925,-98.9995581193032
1500,3600,7.4,-99.0,1.5073582739494142,1427.4643402052714,35.93420666820347,Anchor,8.03775354967334,1.0,740.0,3593.4206668203474,4.85597387408155,1662.3837765988874,9.183541665876106,1.5073582739494142,0.18101772029585456,-98.99967301464747
1500,3650,7.4,-99.0,1.9556199417638709,1436.9872764888198,35.57416077592723,Anchor,8.161596708652972,1.0138888888888886,740.0,3557.416077592723,4.8073190237739505,1680.5389518585887,9.891703158207571,1.9556199417638709,0.16989379128953877,-99.00021457738845
1500,3700,7.4,-99.0,2.33080878340175,1445.5927036622152,35.15055428521906,Anchor,8.283751625430872,1.0277777777777775,740.0,3515.055428521906,4.750074903407981,1698.0853685475145,10.391063730992968,2.33080878340175,0.163417857161506,-99.00010768016048
1500,3750,7.4,-99.0,2.6142473776834763,1454.4040167824442,34.6380178811208,Anchor,8.403942282882227,1.0416666666666667,740.0,3463.80178811208,4.680813227178486,1714.8062125314773,10.69195687731587,2.6142473776834763,0.16038282161141354,-99.00030840227086
1500,3800,7.4,-99.0,1.9186233704940037,1461.5107416776923,33.976376653405325,Anchor,8.52033755240044,1.0555555555555556,740.0,3397.6376653405323,4.591402250460178,1730.1434446891367,10.72870639590788,1.9186233704940037,0.16126300607397034,-99.00015407149675
500,3400,3.0,-111.0,-17.978471034593184,522.1125519381262,15.102377499586348,Anchor,,,,,,,,,,
500,3450,3.0,-111.0,1.607948853927354,656.1136222017137,14.2270583242643,Anchor,3.1762763487802816,0.9754086731742512,300.0,1422.70583242643,4.742352774754767,639.0085471756317,7.727196439557204,1.607948853927354,0.08269604017110364,-111.00000138749007
600,3400,3.5,-107.43582890937363,1.5989836326760667,726.6663901284418,17.079020979490473,Secant,3.5675787080371073,0.939026491193905,350.0,1707.9020979490476,4.879720279854422,719.1167373425886,8.0684161366742,1.5989836326760667,0.0891273733482726,-107.43582041919865
